id_player,id_team,round,position,cartola_price,cartola_score,cartola_price_update,cartola_score_mean,goal_assistance,scored_goals,saved_kicks,wrong_kicks,crossbar_kicks,wrong_passes,missed_penalties,stolen_ball,difficult_gk_saves,gk_penalty_saves,conceded_goals
83048,292,21,zag,4.25,0.0,0.0,5.2,,,,,,6.0,,1.0,,,
101728,276,21,zag,3.8,4.2,0.67,2.58,,,3.0,4.0,,62.0,,27.0,,,
107744,285,21,mei,0.78,0.5,0.0,-0.29,,,,3.0,,42.0,,9.0,,,
109114,263,21,ata,0.77,0.0,0.0,-0.5,,,,,,,,,,,
91260,276,21,gol,1.1,0.0,0.0,-2.0,,,,,,,,,,,
107991,293,21,mei,3.63,0.0,0.0,0.82,,,,,1.0,11.0,,7.0,,,
80393,354,21,mei,3.94,2.6,0.59,1.81,,,1.0,3.0,,45.0,,33.0,,,
62104,284,21,mei,4.67,0.0,0.0,1.09,2.0,,1.0,3.0,,66.0,,7.0,,,
100969,356,21,mei,2.78,1.3,0.0,1.86,1.0,,2.0,,,22.0,,20.0,,,
106411,267,21,lat,5.65,10.6,1.15,3.52,1.0,,1.0,2.0,,46.0,,17.0,,,
104994,277,21,zag,3.25,8.8,1.57,2.18,,,,,,4.0,,8.0,,,
104500,280,21,ata,5.07,0.0,0.0,2.12,1.0,1.0,1.0,,,14.0,,9.0,,,
97520,290,21,mei,2.86,-0.4,-1.58,2.77,,1.0,2.0,,,38.0,,8.0,,,
103515,265,21,mei,0.78,0.0,0.0,-0.7,,,1.0,,,3.0,,,,,
84855,292,21,lat,5.56,0.0,0.0,6.85,,,,,,8.0,,4.0,,,
93637,280,21,mei,3.7,0.0,0.0,2.85,1.0,1.0,5.0,9.0,2.0,75.0,,29.0,,,
101201,354,21,ata,5.69,-0.9,-0.85,1.7,,1.0,2.0,6.0,,15.0,,,,,
85149,292,21,mei,2.73,0.0,0.0,0.45,,,,1.0,,18.0,,11.0,,,
103766,275,21,mei,0.77,0.0,0.0,-0.65,,,,1.0,,4.0,,,,,
88916,292,21,gol,5.29,0.0,0.0,1.66,,,,,,175.0,,,15.0,,18.0
69345,262,21,lat,8.33,0.0,0.0,2.84,4.0,,,,,99.0,,26.0,,,
38877,282,21,lat,7.98,0.0,0.0,2.64,1.0,,1.0,,,72.0,,18.0,,,
97450,264,21,ata,2.87,0.0,0.0,1.6,,1.0,2.0,4.0,,34.0,,7.0,,,
87679,276,21,ata,2.95,0.0,0.0,0.33,,,,1.0,,3.0,,,,,
104660,290,21,ata,5.0,1.6,-0.45,4.53,2.0,3.0,9.0,8.0,,48.0,,18.0,,,
91242,292,21,ata,6.44,4.1,0.25,2.46,,2.0,5.0,5.0,,77.0,,22.0,,,
104502,293,21,mei,1.24,2.7,0.26,0.42,,1.0,2.0,2.0,1.0,72.0,,12.0,,,
86391,292,21,lat,8.45,3.2,-0.11,2.41,,,1.0,3.0,,97.0,,33.0,,,
91664,292,21,zag,3.49,1.1,-0.77,1.2,,,2.0,5.0,1.0,71.0,,20.0,,,
89226,292,21,zag,6.17,1.1,-0.82,2.43,,3.0,2.0,5.0,,130.0,,23.0,,,
101729,293,21,ata,2.57,0.0,0.0,2.18,,1.0,3.0,5.0,,48.0,,11.0,,,
107498,266,21,mei,0.78,0.0,0.0,-2.15,,,,,,3.0,,1.0,,,
99119,277,21,ata,2.58,1.5,0.24,1.01,1.0,,4.0,3.0,,45.0,,16.0,,,
109426,280,21,lat,1.0,1.5,0.04,0.17,,,1.0,1.0,,58.0,,13.0,,,
109282,266,21,ata,2.62,1.0,-0.1,2.17,1.0,1.0,2.0,9.0,,31.0,,14.0,,,
104153,264,21,mei,1.22,0.0,0.0,0.77,,,,1.0,,7.0,,3.0,,,
101398,280,21,ata,1.58,-0.8,-0.11,0.3,,,,,,6.0,,2.0,,,
83772,294,21,ata,5.89,4.2,-0.16,2.3,2.0,,2.0,5.0,,43.0,,19.0,,,
74159,285,21,ata,7.74,1.8,-0.65,2.98,1.0,2.0,6.0,8.0,,29.0,,14.0,,,
109461,282,21,mei,0.94,0.0,0.0,0.8,,,,1.0,,,,,,,
