id_team,id_opponent_team,round,week_day,date,has_won,was_draw,team_goals,opponent_team_goals,was_home_team,match_points,championship_score,championship_position
282,283,13,6,2019-08-04,True,False,2,0,True,3,24,4.0
265,262,13,6,2019-08-04,True,False,3,0,True,3,19,8.0
314,263,13,6,2019-08-04,False,False,0,2,True,0,5,20.0
277,290,13,6,2019-08-04,True,False,6,1,True,3,32,1.0
284,315,13,0,2019-08-05,False,True,3,3,True,1,17,13.0
264,290,7,2,2019-08-07,True,False,2,0,True,3,14,4.0
282,266,14,5,2019-08-10,True,False,2,1,True,3,27,3.0
354,315,14,5,2019-08-10,True,False,4,1,True,3,20,9.0
262,284,14,5,2019-08-10,True,False,3,1,True,3,27,4.0
276,277,14,5,2019-08-10,True,False,3,2,True,3,27,5.0
275,265,14,6,2019-08-11,False,True,2,2,True,1,29,2.0
285,264,14,6,2019-08-11,False,True,0,0,True,1,21,8.0
314,283,14,6,2019-08-11,False,True,2,2,True,1,6,20.0
263,293,14,6,2019-08-11,True,False,2,1,True,3,22,7.0
290,267,14,6,2019-08-11,False,False,0,1,True,0,17,15.0
341,356,14,0,2019-08-12,False,False,0,2,True,0,8,19.0
284,275,15,5,2019-08-17,False,True,1,1,True,1,18,13.0
293,282,15,5,2019-08-17,True,False,1,0,True,3,22,8.0
264,263,15,5,2019-08-17,True,False,2,0,True,3,27,5.0
267,262,15,5,2019-08-17,False,False,1,4,True,0,17,15.0
356,285,15,5,2019-08-17,False,False,0,1,True,0,17,14.0
265,290,15,6,2019-08-18,False,True,1,1,True,1,21,10.0
315,314,15,6,2019-08-18,True,False,1,0,True,3,13,17.0
283,277,15,6,2019-08-18,True,False,2,0,True,3,14,16.0
266,341,15,6,2019-08-18,False,False,0,1,True,0,12,18.0
276,354,15,6,2019-08-18,True,False,1,0,True,3,30,4.0
293,276,13,2,2019-08-21,False,False,0,1,True,0,19,10.0
282,265,16,5,2019-08-24,False,False,0,1,True,0,27,6.0
284,293,16,5,2019-08-24,True,False,2,1,True,3,21,11.0
314,264,16,6,2019-08-25,False,True,1,1,True,1,7,20.0
341,283,16,6,2019-08-25,False,True,1,1,True,1,12,18.0
277,356,16,6,2019-08-25,False,True,3,3,True,1,33,2.0
354,262,16,6,2019-08-25,False,False,0,3,True,0,20,14.0
290,285,16,6,2019-08-25,True,False,2,1,True,3,21,12.0
267,276,16,6,2019-08-25,True,False,2,0,True,3,20,13.0
263,315,16,0,2019-08-26,False,True,0,0,True,1,23,9.0
276,284,17,5,2019-08-31,False,True,0,0,True,1,31,4.0
293,354,17,5,2019-08-31,True,False,1,0,True,3,25,9.0
265,341,17,5,2019-08-31,True,False,1,0,True,3,27,6.0
285,263,17,5,2019-08-31,True,False,3,2,True,3,27,7.0
315,277,17,5,2019-08-31,False,False,0,1,True,0,14,17.0
264,282,17,6,2019-09-01,True,False,1,0,True,3,31,5.0
283,267,17,6,2019-09-01,True,False,1,0,True,3,18,16.0
262,275,17,6,2019-09-01,True,False,3,0,True,3,36,1.0
356,290,17,6,2019-09-01,True,False,2,0,True,3,21,12.0
266,314,17,0,2019-09-02,False,False,0,1,True,0,12,19.0
264,354,18,5,2019-09-07,False,True,2,2,True,1,32,4.0
267,265,18,5,2019-09-07,False,False,0,2,True,0,20,15.0
314,262,18,5,2019-09-07,False,False,0,3,True,0,10,20.0
356,266,18,5,2019-09-07,False,False,0,1,True,0,21,13.0
285,276,18,5,2019-09-07,True,False,1,0,True,3,30,7.0
290,275,18,5,2019-09-07,False,False,1,2,True,0,21,12.0
277,293,18,6,2019-09-08,False,True,1,1,True,1,37,2.0
263,282,18,6,2019-09-08,True,False,2,1,True,3,26,10.0
341,315,18,6,2019-09-08,True,False,2,0,True,3,15,18.0
283,284,18,6,2019-09-08,False,False,1,4,True,0,18,16.0
275,266,16,1,2019-09-10,True,False,3,0,True,3,33,1.0
354,263,19,5,2019-09-14,False,True,0,0,True,1,22,14.0
262,277,19,5,2019-09-14,True,False,1,0,True,3,42,1.0
